Base,ClimateID, WeatherID,jday,date,Hour,Srad,temperature,rain,wind,RH,CO2
BARC,BARC,FSP,132,05/12/2005,8,0.5553,20.75,0,2.67,79.3,379
BARC,BARC,FSP,132,05/12/2005,9,0.8055,20.8,0,2.88,80.7,379
BARC,BARC,FSP,132,05/12/2005,10,1.053,20.6,0,3.91,80.9,379
BARC,BARC,FSP,132,05/12/2005,11,0.5859,19.2,0,3.28,86.8,379
BARC,BARC,FSP,132,05/12/2005,12,2.628,20,0,3.2,82.5,379
BARC,BARC,FSP,132,05/12/2005,13,2.5542,21,0,3.25,73,379
BARC,BARC,FSP,132,05/12/2005,14,3.1878,21.9,0,3.83,66.2,379
BARC,BARC,FSP,132,05/12/2005,15,2.6559,22,0,4.08,56.4,379
BARC,BARC,FSP,132,05/12/2005,16,2.115,22,0,3.89,51.2,379
BARC,BARC,FSP,132,05/12/2005,17,1.5291,21.9,0,3.65,44.4,379
BARC,BARC,FSP,132,05/12/2005,18,0.855,21.2,0,2.98,45.1,379
BARC,BARC,FSP,132,05/12/2005,19,0.1935,19.4,0,2.91,47.7,379
BARC,BARC,FSP,132,05/12/2005,20,0.0018,17.6,0,1.9,51.5,379
BARC,BARC,FSP,132,05/12/2005,21,0,16.9,0,2.26,46.2,379
BARC,BARC,FSP,132,05/12/2005,22,0,16.1,0,1.97,45.2,379
BARC,BARC,FSP,132,05/12/2005,23,0,15.5,0,1.65,47.5,379
BARC,BARC,FSP,133,05/13/2005,0,0,14.6,0,0.79,56.2,379
BARC,BARC,FSP,133,05/13/2005,1,0,13.9,0,0.31,63.1,379
BARC,BARC,FSP,133,05/13/2005,2,0,12.7,0,0.55,69.9,379
BARC,BARC,FSP,133,05/13/2005,3,0,11.1,0,0.16,77.4,379
BARC,BARC,FSP,133,05/13/2005,4,0,9.68,0,0.054,86.3,379
BARC,BARC,FSP,133,05/13/2005,5,0.0045,10.4,0,0.78,71.2,379
BARC,BARC,FSP,133,05/13/2005,6,0.1026,11.2,0,1.51,60.7,379
BARC,BARC,FSP,133,05/13/2005,7,0.1935,11.2,0,1.8,61.7,379
BARC,BARC,FSP,133,05/13/2005,8,0.3573,11.5,0,1.63,67.8,379
BARC,BARC,FSP,133,05/13/2005,9,0.6399,12.4,0,1.43,73.5,379
BARC,BARC,FSP,133,05/13/2005,10,1.2816,13.5,0,2.69,74.5,379
BARC,BARC,FSP,133,05/13/2005,11,1.3563,14.3,0,2.87,70.9,379
BARC,BARC,FSP,133,05/13/2005,12,1.3239,14.5,0,2.82,73.6,379
BARC,BARC,FSP,133,05/13/2005,13,1.2402,14.7,0,2.79,74,379
BARC,BARC,FSP,133,05/13/2005,14,1.062,14.6,0,2.73,74.3,379
BARC,BARC,FSP,133,05/13/2005,15,0.8343,14.7,0,2.55,74.7,379
BARC,BARC,FSP,133,05/13/2005,16,1.7631,15.7,0,2.87,71.7,379
BARC,BARC,FSP,133,05/13/2005,17,0.8622,16.2,0,2.88,70.5,379
BARC,BARC,FSP,133,05/13/2005,18,0.3213,15.7,0,2.57,70.6,379
BARC,BARC,FSP,133,05/13/2005,19,0.09,15.2,0,2.9,68.7,379
BARC,BARC,FSP,133,05/13/2005,20,0.0018,14.3,0,2.67,75.4,379
BARC,BARC,FSP,133,05/13/2005,21,0,13.7,0,2.31,77,379
BARC,BARC,FSP,133,05/13/2005,22,0,13.3,0,2.13,77.3,379
BARC,BARC,FSP,133,05/13/2005,23,0,13.1,0,2.15,77.3,379
BARC,BARC,FSP,134,05/14/2005,0,0,12.2,0,1.98,83,379
BARC,BARC,FSP,134,05/14/2005,1,0,11.8,0,1.87,86.7,379
BARC,BARC,FSP,134,05/14/2005,2,0,10.8,0,0.53,92.1,379
BARC,BARC,FSP,134,05/14/2005,3,0,9.76,0,0.47,98.1,379
BARC,BARC,FSP,134,05/14/2005,4,0,10.3,0,0.78,98.25,379
BARC,BARC,FSP,134,05/14/2005,5,0.0099,9.63,0,0.046,100,379
BARC,BARC,FSP,134,05/14/2005,6,0.2043,11,0,0,101,379
BARC,BARC,FSP,134,05/14/2005,7,0.4248,13.1,0,0.68,98.6,379
BARC,BARC,FSP,134,05/14/2005,8,1.3068,15.6,0,2.62,91.5,379
BARC,BARC,FSP,134,05/14/2005,9,1.9809,17.9,0,3.2,85.6,379
